"매출_금액","매출_금액2","자본_금액","순이익_금액","종업원_수","설립_일자","순이익금액코드","매출증가코드","차입의존코드","이익보상배수코드","산재_비율","industry","추계_금액","예치_금액","최근_계약_일자","최근_활동자","단체_명","대표자","전화번호","시군구코드","주소","TARGET"
2243441611600,2243441611600,15940000000,12580,27,"20201012",1116,1114,1119,1121,7.5,"외국은행",1258,818,"20201012","no","유비에스은행","최희수","02-3702-8888",21,"서울 중구 세종대로 136, 22층",0
1021778801600,1021778801600,14144377500,5919840,16424,"20201012",1118,1114,1119,1121,7.5,"백화점",591984,638969,"20201012","no","롯데쇼핑(주)","강희태","02-771-2500",21,"서울 중구 남대문로 81",0
809193855400,809193855400,207811319000,4522280,5442,"20201012",1117,1114,1119,1121,7.5,"아파트 건설업",452228,244054,"20201012","no","(주)대우건설","김형","02-2288-3114",21,"서울 중구 을지로 170",0
582957071800,582957071800,1000000000,29147853590,5829571,"20201012",1118,1114,1119,1121,7.5,"그외 기타 분류안된 금융업",0,0,"20201012","no","씨앤에이치오토제삼차유동화전문(유)","안정해","02-3700-4944",21,"서울 중구 남대문로1가 14 20층",0
550389900000,550389900000,365744000000,2126020,2145,"20201012",1117,1114,1119,1121,7.5,"비금융 지주회사",212602,99235,"20201012","no","농협경제지주(주)","김태환/장철훈","02-2080-5114",21,"서울 중구 새문안로 16",0
296568063100,296568063100,9000000000,14828403155,30,"20201012",1118,1114,1119,1121,7.5,"외국은행",0,0,"20201012","no","메릴린치인터내셔널은행서울지점","오인환","02-3706-9600",21,"서울 중구 태평로1가 84 파이낸스빌딩 15층",0
281295304000,281295304000,5050000000,96860,477,"20201012",1116,1114,1119,1121,7.5,"셔츠 및 외의 도매업",9686,8538,"20201012","no","(주)신세계디에프","손영식","02-6048-5308",21,"서울 중구 소공로 48, 3층 3층, 8층, 12층",0
205406666700,205406666700,1000000000,10270333335,2054067,"20201012",1118,1114,1119,1121,7.5,"그외 기타 분류안된 금융업",0,0,"20201012","no","수원공구유동화전문(유)","김연직","02-6263-8045",21,"서울 중구 태평로2가 120",0
202715911900,202715911900,556700000,397190,1347,"20201012",1117,1114,1119,1121,7.5,"합성섬유 제조업",39719,36145,"20201012","no","태광산업(주)","홍현민","02-3406-0300",21,"서울 중구 동호로 310",0
200701766400,200701766400,80000000000,10035088320,1030,"20201012",1118,1114,1119,1121,7.5,"무선통신업",0,0,"20201012","no","(주)신세기통신","김대기","02-3708-1114",21,"서울 중구 을지로1가 16 금세기빌딩",0
150000000000,150000000000,1000000000,7500000000,1500000,"20201012",1118,1114,1119,1121,7.5,"그외 기타 분류안된 금융업",0,0,"20201012","no","농협중앙회제일차씨엘오유동화전문(유)","이규섭","02-397-6524",21,"서울 중구 충정로1가 농업협동조합중앙회건물 4층",0
132726751800,132726751800,13387187000,351450,1264,"20201012",1117,1114,1119,1121,7.5,"손해 보험업",35145,23869,"20201012","no","제일화재해상보험(주)","권처신","1566-8282",21,"서울 중구 서소문동 12-1",0
130174703100,130174703100,133007742500,555450,754,"20201012",1117,1114,1119,1121,7.5,"신용카드 및 할부금융업",55545,49404,"20201012","no","하나카드(주)","장경훈","1800-1111",21,"서울 중구 을지로 66",0
114922273600,114922273600,5616457000,134020,1710,"20201012",1117,1114,1119,1121,7.5,"기타 발전기 및 전기변환장치 제",13402,0,"20201012","no","한화큐셀코리아(주)","조현수/유성주","02-729-1897",21,"서울 중구 청계천로 86",0
90416581300,90416581300,81183349000,80070,1443,"20201012",1116,1114,1119,1121,7.5,"기타 대형 종합 소매업",8007,3863,"20201012","no","(주)신세계마트","곽원렬","02-3468-1234",21,"서울 중구 충무로3가 60-1 극동빌딩",0
88994943400,88994943400,5751500000,5710,889950,"20201012",1116,1114,1119,1121,7.5,"외국은행",571,510,"20201012","no","중국농업은행주식유한회사","구택파","02-3788-3900",21,"서울 중구 세종대로 136, 14층",0
