"매출_금액","매출_금액2","자본_금액","순이익_금액","종업원_수","설립_일자","순이익금액코드","매출증가코드","차입의존코드","이익보상배수코드","산재_비율","industry","추계_금액","예치_금액","최근_계약_일자","최근_활동자","단체_명","대표자","전화번호","시군구코드","주소","TARGET"
3690962953100,3690962953100,22388980000,12390,44,"20201012",1116,1114,1119,1121,7.5,"외국은행",1239,0,"20201012","이준형(1000029944)","바클레이즈은행","김지호/김정은","02-2126-2700",21,"서울 중구 을지로5길 19, 23층",0
2500281400000,2500281400000,535957800000,16435240,12787,"20201012",1118,1114,1119,1121,7.5,"국내은행",1643524,1510592,"20170330","박재춘(1000016583)","(주)하나은행","지성규","1599-1111",21,"서울 중구 을지로 35",0
2330879635300,2330879635300,61687574500,1689850,1944,"20201012",1117,1114,1119,1121,7.5,"상품 종합 도매업",168985,164375,"20110131","이경섭(1000030159)","(주)포스코인터내셔널","주시보","02-759-2114",21,"서울 중구 통일로 10",0
2298911777100,2298911777100,7800000000,77370,98,"20201012",1116,1114,1119,1121,7.5,"외국은행",7737,7678,"20130808","배병찬(1000027295)","뱅크오브아메리카","신진욱/유창범","02-2022-4500",21,"서울 중구 세종대로 136, 27층",0
2099494300000,2099494300000,338139200000,11756500,14369,"20201012",1118,1114,1119,1121,7.5,"국내은행",1175650,1039487,"20200327","노갑섭(0001544942)","(주)우리은행","권광석","02-2002-3000",21,"서울 중구 소공로 51",1
1859145400000,1859145400000,792807800000,14955810,13365,"20201012",1118,1114,1119,1121,7.5,"국내은행",1495581,1445985,"20190925","최재천(1000018320)","(주)신한은행","진옥동","1577-8000",21,"서울 중구 세종대로9길 20",1
1639629877500,1639629877500,16805566700,53740,112,"20201012",1116,1114,1119,1121,7.5,"외국은행",5374,5275,"20130930","이준형(1000029944)","알비에스은행서울지점","이상무","02-2131-6000",21,"서울 중구 태평로1가 84 파이낸스빌딩 6층",1
1479990500000,1479990500000,337564600000,9922270,12980,"20201012",1118,1114,1119,1121,7.5,"국내은행",992227,1002863,"20121031","박재춘(1000016583)","중소기업은행","윤종원","02-729-6114",21,"서울 중구 을지로 79",0
1454506500000,1454506500000,66259800000,4267090,13630,"20201012",1117,1114,1119,1121,7.5,"국내은행",426709,0,"20201012","최재천(1000018320)","농업협동조합중앙회","최원병","02-397-5114",21,"서울 중구 새문안로 16",0
1450882585400,1450882585400,0,1168040,2219,"20201012",1117,1114,1119,1121,7.5,"중앙은행",116804,0,"20201012","김용우(1000021317)","한국은행","이주열","02-759-4114",21,"서울 중구 남대문로 39",0
1276227932600,1276227932600,410196079000,263150,4104,"20201012",1117,1114,1119,1121,7.5,"증권 중개업",26315,77,"20200414","김진한(1000020027)","미래에셋대우(주)","최현만/조웅기","02-768-3355",21,"서울 중구 을지로5길 26",1
1213798400000,1213798400000,216219100000,17671570,16875,"20201012",1118,1114,1119,1121,7.5,"국내은행",1767157,1391992,"20120928","안종선(1000030275)","농협은행(주)","손병환","02-2080-5114",21,"서울 중구 통일로 120",0
752385698300,752385698300,3550000000,37619284915,107,"20201012",1118,1114,1119,1121,7.5,"증권 중개업",0,0,"20191231","no","노무라금융투자(주)","타쿠야후루야","02-3783-2000",21,"서울 중구 세종대로 136, 17층",1
708420454900,708420454900,80120000000,35421022745,100,"20201012",1118,1114,1119,1121,7.5,"외국은행",0,0,"20200401","no","(주)미즈호은행","카토마사히코","02-3782-8500",21,"서울 중구 세종대로 136",1
697285935000,697285935000,56747080000,133750,76,"20201012",1117,1114,1119,1121,7.5,"외국은행",13375,4366,"20160725","배병찬(1000027295)","아이엔지은행서울지점","현종훈","02-317-1800",21,"서울 중구 세종대로 136",0
659627400900,659627400900,11406172000,2154250,6290,"20201012",1117,1114,1119,1121,7.5,"화물자동차 운송업",215425,107442,"20191202","김정용(0001568501)","씨제이대한통운(주)","박근희","1588-1255",21,"서울 중구 세종대로9길 53",0
604573162800,604573162800,8190809500,3200260,7279,"20201012",1117,1114,1119,1121,7.5,"설탕 제조업",320026,319737,"20161230","권혁만(1000022425)","CJ제일제당(주)","손경식/강신호","02-6740-1114",21,"서울 중구 동호로 330",0
556802607900,556802607900,7500000000,82860,59,"20201012",1116,1114,1119,1121,7.5,"외국은행",8286,6904,"20200102","류호(1000029094)","디비에스은행서울지점","방효진","02-6322-2601",21,"서울 중구 세종대로 136, 18층",1
543777522800,543777522800,300000000,125100,267,"20201012",1117,1114,1119,1121,7.5,"자동차 신품 판매업",12510,576,"20201012","배병찬(1000027295)","메르세데스벤츠코리아(주)","디미트리스실라키스","02-6456-2500",21,"서울 중구 한강대로 416, 9층",0
543732243500,543732243500,51174852000,1391740,5099,"20201012",1117,1114,1119,1121,7.5,"호텔업",139174,142765,"20201012","신희운(0001535920)","(주)호텔롯데","김현식/이갑/이봉철/최홍훈","02-771-1000",21,"서울 중구 을지로 30",0
540780800000,540780800000,20000000000,981840,1227,"20201012",1117,1114,1119,1121,7.5,"생명 보험업",98184,83416,"20200128","최재천(1000018320)","신한생명보험(주)","성대규","02-3455-4000",21,"서울 중구 삼일대로 358",1
522424771900,522424771900,48955014500,3010120,5454,"20201012",1117,1114,1119,1121,7.5,"화약 및 불꽃제품 제조업",301012,24227,"20201012","정준모(1000026682)","(주)한화","금춘수/이민석/옥경석","02-729-1114",21,"서울 중구 청계천로 86",0
519249156300,519249156300,14000000000,25962457815,120,"20201012",1118,1114,1119,1121,7.5,"외국은행",0,0,"20160121","no","비엔피파리바은행서울지점","필립누와로","02-317-1700",21,"서울 중구 퇴계로 100",1
